,Title,Format of Book,Year Published,Price
0,The Midnight Library,Paperback,2021,8.65
1,Surrounded by Idiots,Paperback,2019,10.21
2,How to Cook That,Hardback,2021,21.44
3,Later,Paperback,2021,9.73
4,They Both Die at the End,Paperback,2017,8.95
5,Six of Crows: Collector's Edition,Hardback,2018,16.06
6,The Seven Husbands of Evelyn Hugo,Paperback,2020,9.87
7,"Chainsaw Man, Vol. 3",Paperback,2021,
8,Where the Crawdads Sing,Paperback,2019,8.24
9,Man's Search For Meaning,Paperback,2015,17.59
10,How To Do The Work,Paperback,2021,14.27
11,Crooked Kingdom Collector's Edition,Hardback,2019,20.12
12,Atomic Habits,Paperback,2018,17.21
13,Shadow and Bone,Paperback,2018,7.44
14,"Red, White & Royal Blue",Paperback,2019,11.91
15,The Song of Achilles,Paperback,2012,9.6
16,Food Isn't Medicine,Hardback,2021,18.14
17,The Body Keeps the Score,Paperback,2015,11.7
18,The Song of Achilles,Paperback,2017,10.96
19,It Ends With Us,Paperback,2016,9.77
20,We Were Liars,Paperback,2014,6.76
21,Hamnet,Paperback,2021,9.26
22,First Person Singular,Hardback,2021,17.74
23,"Girl, Woman, Other",Paperback,2020,10.07
24,Before the Coffee Gets Cold,Paperback,2019,7.48
25,Shadow and Bone: Siege and Storm,Paperback,2018,8.62
26,The Power of Now,Paperback,2001,8.77
27,The Invisible Life of Addie LaRue,Hardback,2020,18.13
28,Circe,Paperback,2019,8.82
29,Rule of Wolves (King of Scars Book 2),Hardback,2021,15.26
